reporte,categoria
El proveedor no respondió a tiempo,Falla de proveedor
Cambio de última hora en la ruta logística,Otro
El pedido llegó tarde por fallas mecánicas,Retraso
Falta información en la factura,Otro
Parte del envío se perdió por demoras por festivos,Daño
Se rompieron varias cajas durante el transporte,Daño
El proveedor no respondió a tiempo,Falla de proveedor
El proveedor no respondió a tiempo,Falla de proveedor
Cambio de última hora en la ruta logística,Otro
Retraso en despacho por problemas de coordinación,Retraso
El camión se retrasó por fallas mecánicas,Retraso
El proveedor no respondió a tiempo,Falla de proveedor
Demora en la entrega debido a demoras por festivos,Retraso
Cambio de última hora en la ruta logística,Otro
Problemas con la documentación de aduana,Otro
Demora en la entrega debido a error humano,Retraso
El camión se retrasó por error humano,Retraso
Parte del envío se perdió por problemas de tráfico,Daño
Producto deteriorado por fallas mecánicas,Daño
El cargamento llegó dañado por congestión en puerto,Daño
El camión se retrasó por mal clima,Retraso
El proveedor no respondió a tiempo,Falla de proveedor
Parte del envío se perdió por problemas con el embalaje,Daño
El proveedor canceló el envío sin aviso,Falla de proveedor
El proveedor no respondió a tiempo,Falla de proveedor
Error administrativo en el sistema,Otro
El proveedor no respondió a tiempo,Falla de proveedor
Falta información en la factura,Otro
El pedido llegó tarde por congestión en puerto,Retraso
Producto deteriorado por congestión en puerto,Daño
El proveedor no respondió a tiempo,Falla de proveedor
El proveedor canceló el envío sin aviso,Falla de proveedor
El proveedor canceló el envío sin aviso,Falla de proveedor
El cargamento llegó dañado por mal clima,Daño
El proveedor canceló el envío sin aviso,Falla de proveedor
El proveedor no entregó el pedido completo,Falla de proveedor
Cambio de última hora en la ruta logística,Otro
El proveedor canceló el envío sin aviso,Falla de proveedor
Cambio de última hora en la ruta logística,Otro
El pedido llegó tarde por problemas de coordinación,Retraso
El proveedor no entregó el pedido completo,Falla de proveedor
Error administrativo en el sistema,Otro
El camión se retrasó por demoras por festivos,Retraso
Demora en la entrega debido a fallas mecánicas,Retraso
Error en la confirmación de pedido del proveedor,Falla de proveedor
Error en la confirmación de pedido del proveedor,Falla de proveedor
Demora en la entrega debido a problemas con el embalaje,Retraso
Parte del envío se perdió por problemas de tráfico,Daño
El proveedor canceló el envío sin aviso,Falla de proveedor
El camión se retrasó por revisión aduanera,Retraso
Retraso en despacho por revisión aduanera,Retraso
Error administrativo en el sistema,Otro
Cambio de última hora en la ruta logística,Otro
El proveedor no entregó el pedido completo,Falla de proveedor
Retraso en despacho por congestión en puerto,Retraso
El proveedor no respondió a tiempo,Falla de proveedor
Retraso en despacho por demoras por festivos,Retraso
Se rompieron varias cajas durante el transporte,Daño
El proveedor canceló el envío sin aviso,Falla de proveedor
Demora en la entrega debido a problemas con el embalaje,Retraso
El cargamento llegó dañado por revisión aduanera,Daño
Error en la confirmación de pedido del proveedor,Falla de proveedor
Demora en la entrega debido a fallas mecánicas,Retraso
El proveedor no entregó el pedido completo,Falla de proveedor
Retraso en despacho por problemas de tráfico,Retraso
El proveedor canceló el envío sin aviso,Falla de proveedor
Cambio de última hora en la ruta logística,Otro
El proveedor no respondió a tiempo,Falla de proveedor
Falta información en la factura,Otro
Parte del envío se perdió por demoras por festivos,Daño
Error administrativo en el sistema,Otro
El proveedor no respondió a tiempo,Falla de proveedor
Error administrativo en el sistema,Otro
Error en la confirmación de pedido del proveedor,Falla de proveedor
Producto deteriorado por problemas de tráfico,Daño
Parte del envío se perdió por congestión en puerto,Daño
Se rompieron varias cajas durante el transporte,Daño
El pedido llegó tarde por problemas de tráfico,Retraso
El camión se retrasó por mal clima,Retraso
El pedido llegó tarde por mal clima,Retraso
Producto deteriorado por fallas mecánicas,Daño
El proveedor no entregó el pedido completo,Falla de proveedor
Se rompieron varias cajas durante el transporte,Daño
Se rompieron varias cajas durante el transporte,Daño
Falta información en la factura,Otro
Parte del envío se perdió por revisión aduanera,Daño
Producto deteriorado por demoras por festivos,Daño
Cambio de última hora en la ruta logística,Otro
El pedido llegó tarde por problemas de tráfico,Retraso
Problemas con la documentación de aduana,Otro
El camión se retrasó por congestión en puerto,Retraso
Parte del envío se perdió por error humano,Daño
Se rompieron varias cajas durante el transporte,Daño
El proveedor no entregó el pedido completo,Falla de proveedor
El cargamento llegó dañado por mal clima,Daño
Cambio de última hora en la ruta logística,Otro
El cargamento llegó dañado por mal clima,Daño
Error administrativo en el sistema,Otro
Problemas con la documentación de aduana,Otro
Cambio de última hora en la ruta logística,Otro
El proveedor no respondió a tiempo,Falla de proveedor
Parte del envío se perdió por mal clima,Daño
El proveedor no respondió a tiempo,Falla de proveedor
El pedido llegó tarde por mal clima,Retraso
Error en la confirmación de pedido del proveedor,Falla de proveedor
El cargamento llegó dañado por problemas con el embalaje,Daño
Retraso en despacho por error humano,Retraso
El cargamento llegó dañado por congestión en puerto,Daño
El cargamento llegó dañado por congestión en puerto,Daño
Se rompieron varias cajas durante el transporte,Daño
Se rompieron varias cajas durante el transporte,Daño
Error en la confirmación de pedido del proveedor,Falla de proveedor
El cargamento llegó dañado por falla en sistema de rastreo,Daño
El proveedor canceló el envío sin aviso,Falla de proveedor
Problemas con la documentación de aduana,Otro
Retraso en despacho por problemas con el embalaje,Retraso
El proveedor no entregó el pedido completo,Falla de proveedor
Cambio de última hora en la ruta logística,Otro
Error en la confirmación de pedido del proveedor,Falla de proveedor
Falta información en la factura,Otro
Producto deteriorado por demoras por festivos,Daño
El camión se retrasó por revisión aduanera,Retraso
El cargamento llegó dañado por congestión en puerto,Daño
El proveedor no entregó el pedido completo,Falla de proveedor
Cambio de última hora en la ruta logística,Otro
Demora en la entrega debido a problemas de coordinación,Retraso
Problemas con la documentación de aduana,Otro
Error en la confirmación de pedido del proveedor,Falla de proveedor
Error en la confirmación de pedido del proveedor,Falla de proveedor
El pedido llegó tarde por mal clima,Retraso
El camión se retrasó por problemas con el embalaje,Retraso
El pedido llegó tarde por revisión aduanera,Retraso
Parte del envío se perdió por fallas mecánicas,Daño
Demora en la entrega debido a mal clima,Retraso
Producto deteriorado por mal clima,Daño
Demora en la entrega debido a error humano,Retraso
El proveedor no entregó el pedido completo,Falla de proveedor
Falta información en la factura,Otro
Se rompieron varias cajas durante el transporte,Daño
Cambio de última hora en la ruta logística,Otro
Falta información en la factura,Otro
El proveedor canceló el envío sin aviso,Falla de proveedor
Demora en la entrega debido a congestión en puerto,Retraso
El pedido llegó tarde por falla en sistema de rastreo,Retraso
Problemas con la documentación de aduana,Otro
El proveedor no entregó el pedido completo,Falla de proveedor
Demora en la entrega debido a demoras por festivos,Retraso
Se rompieron varias cajas durante el transporte,Daño
Cambio de última hora en la ruta logística,Otro
Demora en la entrega debido a mal clima,Retraso
Demora en la entrega debido a falla en sistema de rastreo,Retraso
Demora en la entrega debido a problemas de coordinación,Retraso
El proveedor no respondió a tiempo,Falla de proveedor
Parte del envío se perdió por problemas de tráfico,Daño
El proveedor canceló el envío sin aviso,Falla de proveedor
El proveedor canceló el envío sin aviso,Falla de proveedor
Error en la confirmación de pedido del proveedor,Falla de proveedor
Demora en la entrega debido a fallas mecánicas,Retraso
Parte del envío se perdió por problemas de coordinación,Daño
Parte del envío se perdió por demoras por festivos,Daño
Falta información en la factura,Otro
El proveedor no entregó el pedido completo,Falla de proveedor
Problemas con la documentación de aduana,Otro
El proveedor no entregó el pedido completo,Falla de proveedor
Se rompieron varias cajas durante el transporte,Daño
Cambio de última hora en la ruta logística,Otro
Demora en la entrega debido a fallas mecánicas,Retraso
Retraso en despacho por congestión en puerto,Retraso
Error en la confirmación de pedido del proveedor,Falla de proveedor
Problemas con la documentación de aduana,Otro
El pedido llegó tarde por falla en sistema de rastreo,Retraso
El proveedor no respondió a tiempo,Falla de proveedor
Error administrativo en el sistema,Otro
Cambio de última hora en la ruta logística,Otro
Falta información en la factura,Otro
El proveedor no respondió a tiempo,Falla de proveedor
Producto deteriorado por problemas de tráfico,Daño
El camión se retrasó por congestión en puerto,Retraso
Error en la confirmación de pedido del proveedor,Falla de proveedor
El cargamento llegó dañado por fallas mecánicas,Daño
Producto deteriorado por mal clima,Daño
Problemas con la documentación de aduana,Otro
El camión se retrasó por revisión aduanera,Retraso
Se rompieron varias cajas durante el transporte,Daño
Parte del envío se perdió por demoras por festivos,Daño
El camión se retrasó por problemas de coordinación,Retraso
El pedido llegó tarde por problemas con el embalaje,Retraso
Demora en la entrega debido a demoras por festivos,Retraso
Cambio de última hora en la ruta logística,Otro
El proveedor no entregó el pedido completo,Falla de proveedor
Cambio de última hora en la ruta logística,Otro
El proveedor no respondió a tiempo,Falla de proveedor
El proveedor no respondió a tiempo,Falla de proveedor
El proveedor no entregó el pedido completo,Falla de proveedor
Demora en la entrega debido a revisión aduanera,Retraso
Parte del envío se perdió por problemas de coordinación,Daño
Retraso en despacho por problemas con el embalaje,Retraso
Se rompieron varias cajas durante el transporte,Daño
El camión se retrasó por fallas mecánicas,Retraso
El proveedor no respondió a tiempo,Falla de proveedor
